"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2020-10-01","77","42","46"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2020-10-02","70","46","49"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2020-10-03","76","40","40"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2020-10-04","68","40","43"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2020-10-05","84","43","55"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2020-10-06","85","45","47"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2020-10-08","87","45","47"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2020-10-09","86","47","51"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2020-10-10","86","45","47"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2020-10-11","84","47","52"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2020-10-12","78","39","43"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2020-10-13","78","43","48"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2020-10-14","82","45","47"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2020-10-15","85","36","36"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2020-10-16","58","30","30"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2020-10-17","74","30","35"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2020-10-18","73","35","40"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2020-10-19","50","33","37"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2020-10-20","64","37","42"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2020-10-21","71","37","40"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2020-10-22","78","35","35"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2020-10-23","40","21","21"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2020-10-24","35","21","25"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2020-10-25","56","15","15"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2020-10-26","17","9","10"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2020-10-27","22","4","6"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2020-10-28","51","6","33"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2020-10-29","56","31","32"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2020-10-30","62","32","32"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2020-10-31","70","32","40"
