"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-01-01","21","4","4"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-01-02","16","4","8"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-01-03","46","8","16"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-01-04","57","15","25"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-01-05","66","25","27"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-01-06","60","27","28"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-01-07","59","25","26"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-01-08","55","26","30"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-01-09","43","23","24"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-01-10","54","24","30"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-01-11","60","30","33"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-01-12","44","32","32"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-01-13","43","19","19"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-01-14","44","19","20"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-01-15","49","20","21"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-01-16","55","21","33"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-01-17","57","31","31"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-01-18","60","30","33"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-01-19","39","19","19"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-01-20","50","19","37"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-01-21","60","26","26"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-01-22","60","24","24"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-01-23","33","17","30"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-01-24","49","24","27"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-01-25","33","13","14"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-01-26","44","14","22"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-01-27","49","22","30"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-01-28","55","25","25"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-01-29","32","8","10"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-01-30","38","9","11"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-01-31","54","11","22"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-02-01","57","20","24"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-02-02","60","24","26"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-02-03","63","25","37"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-02-04","68","35","36"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-02-05","62","21","21"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-02-06","52","18","18"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-02-07","21","-1","0"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-02-08","23","-2","0"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-02-09","34","-1","13"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-02-10","47","13","13"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-02-11","35","13","14"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-02-12","38","14","20"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-02-13","54","20","25"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-02-14","60","25","50"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-02-15","60","25","28"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-02-16","62","20","21"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-02-17","41","21","23"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-02-18","44","9","9"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-02-19","22","9","15"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-02-20","22","9","10"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-02-21","39","10","17"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-02-22","36","15","24"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-02-25","48","19","26"
"USC00052223","DENVER WATER DEPARTMENT, CO US","2019-02-26","50","23","24"
